2022-05-03 at 01:44:26|INFO|user.views|user_login|192.168.6.205: 5201314
2022-05-03 at 01:44:41|INFO|user.views|search_friend|192.168.6.205: {'account': '3564656'}
2022-05-03 at 01:44:47|INFO|user.views|search_friend|192.168.6.205: qq飞车
2022-05-03 at 01:45:06|INFO|user.views|get_user_info|192.168.6.205: 测试账号
2022-05-03 at 02:02:24|INFO|user.views|get_user_info|192.168.6.192: qq飞车
2022-05-03 at 02:04:54|INFO|user.views|get_user_info|192.168.6.205: 测试账号
2022-05-03 at 02:04:58|INFO|user.views|get_user_info|192.168.6.205: 测试账号
2022-05-03 at 02:04:59|INFO|user.views|get_user_info|192.168.6.205: 测试账号
2022-05-03 at 02:05:00|INFO|user.views|get_user_info|192.168.6.205: 测试账号
2022-05-03 at 02:09:47|INFO|user.views|get_user_info|192.168.6.205: 测试账号
2022-05-03 at 02:09:51|INFO|user.views|get_user_info|192.168.6.205: 测试账号
